"country","Life_expectancy","Fertility","GDP_per_capita","Population","Healthcare_spending","BMI","rank"
"Afghanistan",59.9,5.82,544,31400000,44.5,20.85,"low"
"Albania",77.6,1.65,4050,3200000,577,26.049999999999997,"high"
"Algeria",76.3,2.89,4470,35500000,330,25.5,"high"
"Angola",59.9,6.16,3240,19100000,168,22.9,"low"
"Antigua and Barbuda",76.6,2.13,12700,88700,991,26.65,"high"
"Argentina",75.8,2.37,10000,40400000,1290,27.5,"high"
"Armenia",74,1.55,3380,3090000,239,26.25,"high"
"Australia",82,1.93,50000,22300000,3440,27.25,"high"
"Austria",80.6,1.44,47300,8390000,4390,25.8,"high"
"Azerbaijan",69.3,1.96,5460,9190000,579,26.55,"low"
"Bahamas",73.4,1.87,27900,343000,1990,28.200000000000003,"high"
"Bahrain",78.2,2.14,18800,1260000,1080,28.3,"high"
"Bangladesh",69.5,2.28,844,149000000,23.5,20.5,"low"
"Barbados",76.7,1.78,15700,273000,1520,27.799999999999997,"high"
"Belarus",70.4,1.54,5910,9600000,786,26.4,"low"
"Belgium",80.1,1.81,44800,10700000,4030,25.950000000000003,"high"
"Belize",73.6,2.72,3840,312000,378,28.4,"high"
"Benin",61.4,5.36,1030,8850000,65,23.049999999999997,"low"
"Bhutan",71.6,2.38,2130,726000,275,22.85,"low"
"Bolivia",70.8,3.2,1870,9930000,233,25.65,"low"
"Bosnia and Herzegovina",76.3,1.31,4710,3760000,972,26.5,"high"
"Botswana",60.2,2.88,6110,2010000,1150,24.1,"low"
"Brazil",74.4,1.81,10900,195000000,1030,25.9,"high"
"Brunei",75.1,1.84,35000,399000,1450,23.549999999999997,"high"
"Bulgaria",73.8,1.49,6670,7490000,947,26,"high"
"Burundi",57.8,6.26,233,8380000,47.3,21.4,"low"
"Cambodia",67.1,2.88,750,14100000,121,21.25,"low"
"Cameroon",57.7,5.11,1270,19600000,122,24.299999999999997,"low"
"Canada",81.4,1.64,46600,34000000,4400,27.049999999999997,"high"
"Cape Verde",74.3,2.67,3230,496000,184,24.25,"high"
"Central African Republic",48,5.22,491,4400000,31.1,21.7,"low"
"Chad",56.4,6.59,863,11200000,61.7,21.7,"low"
"Chile",78.6,1.88,11900,17100000,1200,27.45,"high"
"China",75.8,1.59,4530,1340000000,379,22.9,"high"
"Colombia",78.1,2.01,6100,46300000,713,25.549999999999997,"high"
"Comoros",66.5,4.92,1320,735000,49.1,22.25,"low"
"Congo, Dem. Rep.",57.9,6.47,320,66000000,27.3,20.799999999999997,"low"
"Congo, Rep.",59.8,4.95,2110,4040000,104,22.5,"low"
"Costa Rica",79.4,1.92,7880,4660000,1240,26.75,"high"
"Cote d'Ivoire",57.4,5.22,1170,19700000,97.6,23.200000000000003,"low"
"Croatia",76.8,1.47,13400,4400000,1510,25.9,"high"
"Cuba",78.3,1.64,5600,11300000,431,25.85,"high"
"Cyprus",80.1,1.42,30600,1100000,1840,26.65,"high"
"Czech Republic",77.7,1.47,18300,10500000,2050,27.2,"high"
"Denmark",79.3,1.88,59000,5550000,4540,25.6,"high"
"Djibouti",63.8,3.3,1360,889000,170,23.9,"low"
"Dominican Republic",74,2.6,5360,9930000,578,26.049999999999997,"high"
"Ecuador",74.7,2.66,4560,14500000,653,26.35,"high"
"Egypt",69.4,3.19,2590,81100000,289,28.4,"low"
"El Salvador",73.4,2.27,2900,6190000,450,27.1,"high"
"Equatorial Guinea",62.2,5.21,10200,700000,1550,24.15,"low"
"Eritrea",58.6,4.61,495,5250000,16,21,"low"
"Estonia",76,1.64,14000,1340000,1230,25.75,"high"
"Eswatini",46,3.53,3960,1190000,333,25.799999999999997,"low"
"Ethiopia",62.9,4.92,340,83000000,50.6,20.5,"low"
"Fiji",67.4,2.67,3540,861000,198,27.9,"low"
"Finland",80.2,1.87,47100,5370000,3280,26.15,"high"
"France",81.4,1.99,41600,62800000,4020,25.35,"high"
"Gabon",62.8,4.08,7690,1510000,522,25,"low"
"Gambia",63.6,5.71,844,1730000,79.7,23.200000000000003,"low"
"Georgia",72.8,1.92,3180,4350000,522,26,"low"
"Germany",80.4,1.39,42400,82300000,4330,26.45,"high"
"Ghana",61.6,4.27,1280,24400000,84.9,23.55,"low"
"Greece",80.3,1.41,26400,11400000,2850,25.6,"high"
"Grenada",74.1,2.24,6880,105000,594,26.25,"high"
"Guatemala",71.7,3.38,2820,14400000,325,26.05,"low"
"Guinea",57.4,5.34,665,9980000,56.3,22.45,"low"
"Guinea-Bissau",55.9,5.05,555,1520000,100,22.25,"low"
"Guyana",68,2.66,3020,755000,167,25.1,"low"
"Haiti",32.5,3.33,668,9990000,76.2,23.5,"low"
"Hungary",74.6,1.33,12500,9980000,1470,26.55,"high"
"Iceland",82.4,2.07,35000,320000,3280,26.6,"high"
"India",66.7,2.6,1340,1230000000,132,21.15,"low"
"Indonesia",69.7,2.48,3040,240000000,112,22.45,"low"
"Iran",75.2,1.77,6600,74000000,836,26.25,"high"
"Iraq",73.5,4.56,4710,31700000,340,27.549999999999997,"high"
"Ireland",80.7,2,40800,4470000,3700,27.1,"high"
"Israel",81.8,3,30100,7420000,2190,27.200000000000003,"high"
"Italy",82,1.43,35900,60600000,3020,25.65,"high"
"Jamaica",75.8,2.17,4530,2740000,372,25.6,"high"
"Japan",83.1,1.37,45700,127000000,3200,22.7,"high"
"Jordan",77.6,3.66,3660,6190000,448,28.35,"high"
"Kazakhstan",68.4,2.67,7880,16000000,541,26.450000000000003,"low"
"Kenya",61.2,4.37,948,40500000,77.7,22.35,"low"
"Kiribati",60.9,3.84,2220,99600,258,30.25,"low"
"Kuwait",81.2,2.22,41400,2740000,1130,30.2,"high"
"Kyrgyz Republic",69.7,2.98,824,5330000,140,25.25,"low"
"Lao",63.8,3.15,1070,6200000,97.2,21.55,"low"
"Latvia",73.2,1.51,11500,2250000,1090,26.05,"low"
"Lebanon",77.2,1.61,7660,4230000,980,27.45,"high"
"Lesotho",47.8,3.3,1500,2170000,170,24.35,"low"
"Liberia",61.3,5.02,467,3990000,49.3,22.549999999999997,"low"
"Libya",73.4,2.41,12100,6360000,713,27.85,"high"
"Lithuania",73.3,1.51,11900,3320000,1300,26.45,"low"
"Luxembourg",80.8,1.58,75700,507000,6740,26.75,"high"
"Madagascar",61.7,4.6,465,20700000,36.3,21.049999999999997,"low"
"Malawi",54.2,5.31,471,14900000,65.4,22.45,"low"
"Malaysia",74.4,2.15,8750,28400000,641,25.049999999999997,"high"
"Maldives",79.2,2.23,6230,316000,464,24.799999999999997,"high"
"Mali",59.4,6.55,682,15400000,55.6,22.450000000000003,"low"
"Malta",80.4,1.39,20000,417000,2260,27.4,"high"
"Mauritania",68.2,4.98,1590,3460000,79,24.450000000000003,"low"
"Mauritius",74,1.58,7930,1300000,803,25.65,"high"
"Micronesia, Fed. Sts.",67,3.46,2990,111000,451,29.700000000000003,"low"
"Moldova",69.8,1.27,2610,3570000,360,25.65,"low"
"Mongolia",66,2.64,2430,2760000,218,25.299999999999997,"low"
"Montenegro",76,1.77,6640,632000,1160,26.15,"high"
"Morocco",72.1,2.58,2800,32000000,246,25.9,"low"
"Mozambique",52,5.56,457,23400000,48.7,22.6,"low"
"Myanmar",64.8,2.41,979,48000000,34.4,21.95,"low"
"Namibia",59,3.61,5110,2280000,436,23.85,"low"
"Nepal",69.2,2.61,597,30000000,63,20.75,"low"
"Netherlands",80.8,1.8,51100,16600000,5040,25.75,"high"
"New Zealand",80.7,2.12,32000,4370000,3020,27.6,"high"
"Niger",59.1,7.49,471,15500000,36.9,21.6,"low"
"Nigeria",60.5,5.84,2170,158000000,121,23.35,"low"
"North Macedonia",75.9,1.47,4480,2060000,791,25.85,"high"
"Norway",80.9,1.95,88700,4880000,5430,26.299999999999997,"high"
"Oman",75.2,2.9,18100,2780000,598,26.45,"high"
"Pakistan",64.3,3.86,1030,174000000,58.7,22.85,"low"
"Panama",78.2,2.62,7450,3520000,1120,27,"high"
"Papua New Guinea",56.3,3.99,1800,6860000,87.7,25.4,"low"
"Paraguay",74.6,2.73,4150,6460000,302,25.7,"high"
"Peru",77.5,2.55,4710,29100000,481,25.4,"high"
"Philippines",69.2,3.16,2470,93300000,142,23.2,"low"
"Poland",76.4,1.37,12200,38300000,1480,26.299999999999997,"high"
"Portugal",80,1.33,21800,10700000,2820,26.45,"high"
"Qatar",78,2.07,60400,1760000,1620,28.5,"high"
"Romania",73.7,1.47,8110,21500000,811,25.299999999999997,"high"
"Russia",68.1,1.57,10300,143000000,998,26.6,"low"
"Rwanda",64.3,4.52,608,10600000,121,22.35,"low"
"Samoa",72.5,4.34,3460,183000,283,32.05,"low"
"Sao Tome and Principe",68.9,4.79,1100,165000,142,24.2,"low"
"Saudi Arabia",74.8,2.96,19500,27500000,968,28.75,"high"
"Senegal",65.9,5.06,1270,12400000,109,23.1,"low"
"Serbia",74.4,1.58,5610,9860000,1170,26.1,"high"
"Seychelles",73.2,2.36,10200,86500,785,26.8,"low"
"Sierra Leone",55.4,5.2,406,5870000,107,23.2,"low"
"Singapore",83.2,1.26,46700,5090000,2270,23.35,"high"
"Slovak Republic",75.6,1.36,16400,5460000,2060,26.6,"high"
"Slovenia",79.5,1.52,23200,2030000,2550,27,"high"
"Solomon Islands",61.7,4.24,941,538000,227,28.049999999999997,"low"
"South Africa",56.1,2.59,7170,50100000,935,28.2,"low"
"South Korea",80.6,1.19,23100,48200000,2020,23.65,"high"
"Spain",82,1.37,30100,46100000,3030,26.9,"high"
"Sri Lanka",74.7,2.2,2770,20900000,148,22.55,"high"
"St. Lucia",75.6,1.54,8310,174000,804,25.9,"high"
"St. Vincent and the Grenadines",72.9,2.07,6180,109000,466,26.45,"low"
"Sudan",67.7,4.88,1310,34100000,141,22.799999999999997,"low"
"Suriname",71.4,2.52,8060,525000,523,26.65,"low"
"Sweden",81.5,1.99,54300,9380000,3760,25.75,"high"
"Switzerland",82.5,1.5,79000,7660000,5390,25.15,"high"
"Tajikistan",69.8,3.51,926,6880000,128,23.85,"low"
"Tanzania",60.9,5.43,730,44800000,83.4,22.8,"low"
"Thailand",77,1.55,4860,69100000,330,23.7,"high"
"Timor-Leste",70,6.23,3040,1120000,84,21.05,"low"
"Togo",59.2,4.87,530,6030000,76.9,22.299999999999997,"low"
"Tonga",71,3.91,3670,104000,229,32.65,"low"
"Trinidad and Tobago",73.6,1.81,15900,1340000,1450,27.35,"high"
"Tunisia",77,2.14,3950,10500000,483,26.549999999999997,"high"
"Turkey",77.6,2.16,10600,72800000,1030,27.5,"high"
"Turkmenistan",69.6,2.83,4070,5040000,199,25,"low"
"Uganda",59.1,6.15,806,33400000,124,22.45,"low"
"Ukraine",70.8,1.45,2920,45500000,519,25.799999999999997,"low"
"United Arab Emirates",72.9,1.87,33900,7510000,1540,28.85,"low"
"United Kingdom",80.4,1.89,39500,62000000,3480,27.15,"high"
"United States",78.7,1.93,48900,310000000,8360,28.4,"high"
"Uruguay",76.4,2.08,11500,3370000,1190,26.5,"high"
"Uzbekistan",68.8,2.44,1640,27400000,184,25.35,"low"
"Vanuatu",64,3.5,2860,240000,240,27.65,"low"
"Venezuela",75.3,2.47,13700,29000000,589,27.75,"high"
"Vietnam",73.5,1.95,1270,87900000,215,21,"high"
"Yemen",68,4.67,1260,24100000,122,25.25,"low"
"Zambia",56,5.4,1390,13100000,90.2,21.9,"low"
